Year,ID,National,Position,PY,WY,CE/PL/UPL,Sex,R&D/Non R&D,WP,Birth,SCHLafterEPY,School,CORE,LP,RCMD,Performance,EDU,EmployBenifits,Retention,Married,HP,Core,Jobtype,Fresh/Exprnc,Transferred,PromotionCandidate,Promotion,Incentive,Retire
2015,lg3060,1,P3,4,11,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1975,N,T2,N,N,N,3,Master,N,N,10,N,N,A,1,N,N,N,1,0
2015,lg2865,1,P3,2,10,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T2,N,N,N,5,Doctor,N,Y,11,Y,N,A,0,N,N,N,2,0
2015,lg2866,1,P3,2,9,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1978,N,T1,N,N,N,3,Master,N,Y,6,N,N,A,0,N,N,N,1,0
2015,lg2867,1,P3,5,8,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1972,N,T3,N,N,N,4,Doctor,N,N,12,Y,N,A,0,N,N,N,0,0
2015,lg2869,1,P3,5,8,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T1,N,N,N,3,Doctor,N,N,10,N,N,A,0,N,N,N,0,0
2015,lg4261,1,P2,3,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1978,N,T2,N,Y,N,2,Master,N,N,8,N,N,A,0,N,N,N,0,0
2015,lg2870,1,P2,3,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T1,N,Y,N,2,Master,N,N,8,N,N,A,0,N,N,N,0,0
2015,lg2871,1,P2,2,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T2,N,N,N,3,Master,N,N,6,N,N,A,0,N,N,N,0,0
2015,lg2875,1,P2,3,4,Current_employee,Female,R&D,Gasan R&D Campus(LGEKR),1984,N,T3,N,N,N,3,Master,N,N,2,N,N,A,0,N,N,N,0,0
2015,lg2876,1,P2,4,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,N,N,3,Doctor,N,N,9,N,N,A,0,N,N,N,0,0
2015,lg2878,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1982,N,T1,N,N,N,2,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg3071,1,P2,2,3,Current_employee,Female,R&D,Gasan R&D Campus(LGEKR),1985,N,T1,N,N,N,1,Master,N,N,0,N,N,A,0,N,N,N,1,0
2015,lg2879,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1982,N,T1,N,N,N,5,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg3720,1,P2,1,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1985,N,T4,N,N,N,3,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg4786,1,D,2,19,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1966,Y,T4,N,N,N,0,Master,N,N,23,N,Y,B,0,N,N,N,0,0
2015,lg2990,1,P3,11,30,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1959,Y,T4,N,Y,N,1,Master,N,N,30,N,N,A,0,N,N,N,0,0
2015,lg2991,1,P3,16,27,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1960,N,A,N,Y,N,1,Doctor,Y,N,25,N,N,A,1,N,N,N,0,0
2015,lg2992,1,P3,13,26,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1961,N,T1,N,N,N,5,Doctor,Y,Y,26,Y,Y,A,1,N,N,N,3,0
2015,lg2993,1,P3,5,25,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1964,N,T3,N,N,N,4,Bachelor,N,N,20,N,N,A,0,N,N,N,0,0
2015,lg2994,1,C,3,24,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1961,N,T3,N,N,N,0,Doctor,Y,N,31,N,N,B,1,N,N,N,0,0
2015,lg2995,1,P3,9,23,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1966,Y,T1,N,N,N,3,Doctor,N,N,15,N,N,A,0,N,N,N,0,0
2015,lg2996,1,P3,7,23,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1965,Y,T2,N,N,N,3,Master,N,N,22,N,N,A,0,N,N,N,1,0
2015,lg2997,1,P3,4,19,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1970,N,T3,N,N,N,3,Master,N,N,14,N,N,A,0,N,N,N,0,0
2015,lg2998,1,P3,3,17,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1972,N,T1,N,N,N,3,Master,N,Y,12,N,N,A,0,N,N,N,0,0
2015,lg3000,1,P3,1,16,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,N,N,5,Master,N,N,10,Y,N,A,0,N,N,N,0,0
2015,lg3003,1,P3,6,14,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1975,N,T2,N,N,N,3,Master,N,N,10,N,N,A,0,N,N,N,0,0
2015,lg3006,1,P3,4,12,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T4,N,N,N,4,Master,N,N,13,N,N,A,0,N,N,N,0,0
2015,lg3007,1,P3,6,11,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T1,N,N,N,4,Master,N,N,9,N,N,A,1,N,N,N,0,0
2015,lg3009,1,P3,2,11,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1969,N,A,N,N,N,3,Doctor,N,Y,6,Y,Y,A,0,N,N,N,1,0
2015,lg3014,1,P3,7,10,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1970,N,A,N,N,N,3,Doctor,N,N,16,N,N,A,0,N,N,N,0,0
2015,lg3015,1,P3,2,10,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1975,N,T2,N,N,N,2,Master,N,N,5,N,N,A,0,N,N,N,0,0
