2010 Gangwon,2010 Gyeonggi,2010 Gyeongnam,2010 Gyeongbuk,2010 Gwangju,2010 Daegu,2010 Daejeon,2010 Busan,2010 Seoul,2010 Ulsan,2010 Incheon,2010 Jeonnam,2010 Jeonbuk,2010 Jeju,2010 Chungnam,2010 Chungbuk,2014 Gangwon,2014 Gyeonggi,2014 Gyeongnam,2014 Gyeongbuk,2014 Gwangju,2014 Daegu,2014 Daejeon,2014 Busan,2014 Seoul,2014 Sejong,2014 Ulsan,2014 Incheon,2014 Jeonnam,2014 Jeonbuk,2014 Jeju,2014 Chungnam,2014 Chungbuk,2018 Gangwon,2018 Gyeonggi,2018 Gyeongnam,2018 Gyeongbuk,2018 Gwangju,2018 Daegu,2018 Daejeon,2018 Busan,2018 Seoul,2018 Sejong,2018 Ulsan,2018 Incheon,2018 Jeonnam,2018 Jeonbuk,2018 Jeju,2018 Chungnam,2018 Chungbuk
0,0,0,0,1.235354775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189112835,0,0,0,0,0,0,0,0,0,0,0,0,0.336086176,0.263851672,0.367218625,0.60505763,0,0.554234384,0.232593798,0.286302922,0.218327725,0.075461195,0.325030294,0.262788436,0.033574076,0.082461311,0.446831265,0.270271011,0.192591513
0,0,0,0,0,0.345817723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008722887,0,0,0,0,0,0,0,0,0,0,0,0.141317824,0.068021422,0.032373971,0.032652436,0.921538964,0,0.095139433,0.055880401,0.233752046,0.313139053,0.038368066,0.070711542,1.074186185,1.259027179,1.319373217,0.096814245,0.12358378
0,0,0,0,0,0,0.307451786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080638144,0,0,0,0,0,0,0,0,0,0,0.120914477,0.005441648,0.041391768,0.108147933,0.370762642,0.090970065,0,0.01033448,0.051688742,0.060857452,0.017215243,0.011360046,0.452239794,0.568236648,0.729567304,0.044872194,0.003882649
0,0,0,0,0,0,0,0.09557523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94100826,0,0,0,0,0,0,0,0,0,0.064074427,0.000843609,0.009880863,0.099238286,0.47532662,0.055092757,0.009764951,0,0.101099473,0.098973592,0.001606052,0.001152469,0.591939401,0.732811586,0.903537751,0.017400678,0.013774512
0,0,0,0,0,0,0,0,0.2281786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479388705,0,0,0,0,0,0,0,0,0.401384729,0.104333037,0.209416191,0.15614865,0.286047928,0.235785085,0.059230333,0.123093732,0,0.087256618,0.138453111,0.13038515,0.266353574,0.319756764,0.395292165,0.22709721,0.074643337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23839721,0,0,0,0,0,0,0,0.152593401,0.071509109,0.139557307,0.305819232,0.109072512,0.264599737,0.054581685,0.085014523,0.077512897,0,0.108535061,0.072436018,0.170922222,0.254586998,0.530549217,0.088063281,0.034116334
0,0,0,0,0,0,0,0,0,0.025408685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32726161,0,0,0,0,0,0,0.067223781,0.004474896,0.005392285,0.081585144,0.543112325,0.038184796,0.01683774,0.001620706,0.117206164,0.127498763,0,0.004937274,0.666805519,0.81560381,0.969279757,0.02205665,0.024709168
0,0,0,0,0,0,0,0,0,0,0.068391533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065551035,0,0,0,0,0,0.05177638,0.001279642,0.012238167,0.121513625,0.434332278,0.069723731,0.010136668,0.001147068,0.101795309,0.083423672,0.004891675,0,0.552229799,0.690872577,0.88235323,0.010929851,0.010017417
0,0,0,0,0,0,0,0,0,0,0,1.195817481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030808273,0,0,0,0,0.547349181,0.316784615,0.462212364,0.564440032,0.039004724,0.600336034,0.258603233,0.34679666,0.167684342,0.121894258,0.385560613,0.333752374,0,0.012123535,0.262015826,0.398728102,0.237591482
0,0,0,0,0,0,0,0,0,0,0,0,1.017508722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184960002,0,0,0,0.726038704,0.391452424,0.565102493,0.579234595,0.099799293,0.672030187,0.315335025,0.426578261,0.173407532,0.190459463,0.465603923,0.420251066,0.012605548,0,0.175962877,0.522922322,0.306511196
0,0,0,0,0,0,0,0,0,0,0,0,0,8.56894899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161532687,0,0,1.604646662,0.810351488,1.09369973,0.692978066,0.577931257,1.039130544,0.661285103,0.864339958,0.310479369,0.629157331,0.89845545,0.891826842,0.290670359,0.183470507,0,1.163055031,0.713693809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605400942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020314381,0,0.012659734,0.017093077,0.016908045,0.179090795,0.427311263,0.096779564,0.033841017,0.015195113,0.148295363,0.090758077,0.020319442,0.009467937,0.567428721,0.715453971,0.954158964,0,0.025441827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105454308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08316793,0.093437658,0.007764692,0.044250876,0.150890854,0.307899821,0.116323942,0.003837222,0.013336608,0.060645228,0.038096056,0.023623112,0.010068998,0.395782421,0.510434101,0.711712507,0.03165369,0
